"One of us snores","Frequent bathroom","Sick","No longer physically intimate","prefer different room temperature","Argument or fight","Not enough space","Dont want to share the covers","Sleep with child","Different sleep time","att20","Hypothesis 1","Hypothesis 2","Hypothesis 3","Age","StartDate","EndDate","Which of the following best describes your current relationship status?","How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?","att7","When you're not sleeping in the same bed, where does your partner typically sleep?","att9","When was the first time you slept in separate beds?","Which of the following best describes your current occupation?","att26","Gender","Household Income","Education","Location (Census Region)"
"-","-","One of us is sick","-","-","We've had an argument or fight","-","-","-","Night working/very different sleeping times","-","Strongly disagree","Neither agree nor disagree","Strongly disagree","18-29",9/7/14 7:52 PM,9/7/14 7:54 PM,"Single, but cohabiting with a significant other","1-5 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Computer and Mathematical Occupations",,"Female","$25,000 - $49,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","30-44",9/7/14 7:52 PM,9/7/14 7:54 PM,"Married","6-10 years","Every night","Shared bedroom, but one of us sleeps on the floor",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Installation, Maintenance, and Repair Occupations",,"Male","$25,000 - $49,999","High school degree","East North Central"
"One of us snores","-","-","-","We have different temperature preferences for the room","-","-","-","-","-","-","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 7:52 PM,9/7/14 7:55 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Healthcare Practitioners and Technical Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","East South Central"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","30-44",9/7/14 7:52 PM,9/7/14 7:54 PM,"Married","1-5 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","South Atlantic"
"One of us snores","-","One of us is sick","-","-","-","-","-","One of us needs to sleep with a child","Night working/very different sleeping times","-","Somewhat agree","Neither agree nor disagree","Somewhat disagree","30-44",9/7/14 7:52 PM,9/7/14 8:03 PM,"Married","6-10 years","A few times per month","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Architecture and Engineering Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:52 PM,9/7/14 7:53 PM,"Married","16-20 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:52 PM,9/7/14 7:52 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$150,000+","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 7:51 PM,9/7/14 7:52 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$25,000 - $49,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:51 PM,9/7/14 7:53 PM,"Married","16-20 years","Never",,,,,,"Other (please specify)","Locksmith","Male","$25,000 - $49,999","Some college or Associate degree","East North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 7:51 PM,9/7/14 7:53 PM,"Married","11-15 years","A few times per month","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Management Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:51 PM,9/7/14 7:52 PM,"Married","6-10 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Male","$50,000 - $99,999","Graduate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:51 PM,9/7/14 7:52 PM,"Married","11-15 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Male","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Strongly disagree","Strongly disagree","Strongly disagree","> 60",9/7/14 7:51 PM,9/7/14 7:53 PM,"Married","More than 20 years","A few times per month","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within 11-15 years of our relationship","Other (please specify)","Retired","Male","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Strongly disagree","Strongly disagree","18-29",9/7/14 7:51 PM,9/7/14 7:53 PM,"Single, but cohabiting with a significant other","1-5 years","Every night","Other (please specify)","This does not occur","Other (please specify)","Same as above","After 20 years of our relationship","Healthcare Support Occupations",,"Female","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Strongly disagree","Strongly disagree","45-60",9/7/14 7:51 PM,9/7/14 7:54 PM,"Married","11-15 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Computer and Mathematical Occupations",,"Male","$100,000 - $149,999","Bachelor degree","East North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Strongly disagree","> 60",9/7/14 7:50 PM,9/7/14 7:53 PM,"Married","More than 20 years","A few times per week","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Education, Training, and Library Occupations",,"Female","$100,000 - $149,999","Graduate degree","West North Central"
"One of us snores","-","-","-","We have different temperature preferences for the room","-","-","-","-","-","Other (please specify)","Strongly agree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 7:50 PM,9/7/14 7:53 PM,"Married","6-10 years","Every night","Separate bedroom",,"Separate bedroom",,"Immediately/ We've always slept in separate beds","Healthcare Practitioners and Technical Occupations",,"Female","$50,000 - $99,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:50 PM,9/7/14 7:51 PM,"Divorced","11-15 years","Never",,,,,,"Other (please specify)","retired","Female","$50,000 - $99,999","Bachelor degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly agree","Strongly agree","Strongly agree","30-44",9/7/14 7:50 PM,9/7/14 7:52 PM,"Married","11-15 years","A few times per week","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Female",,"Bachelor degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:50 PM,9/7/14 7:51 PM,"Married","1-5 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"One of us snores","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Somewhat disagree","Somewhat agree","Strongly disagree","45-60",9/7/14 7:50 PM,9/7/14 7:53 PM,"Married","11-15 years","A few times per week","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 6-10 years of our relationship","Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Bachelor degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Somewhat disagree","Strongly agree","Neither agree nor disagree","30-44",9/7/14 7:50 PM,9/7/14 7:53 PM,"Married","11-15 years","A few times per week","On the couch/chair",,"Shared bedroom, different bed",,"Within 6-10 years of our relationship","Office and Administrative Support Occupations",,"Female","$25,000 - $49,999","Bachelor degree","West South Central"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","Other (please specify)","Strongly disagree","Neither agree nor disagree","Strongly disagree","30-44",9/7/14 7:50 PM,9/7/14 7:53 PM,"Married","6-10 years","Once a month or less","On the couch/chair",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Sales and Related Occupations",,"Female","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Strongly disagree","Strongly disagree","Strongly disagree","> 60",9/7/14 7:49 PM,9/7/14 7:51 PM,"Married","More than 20 years","Every night","On the couch/chair",,"Shared bedroom, different bed",,"Within 6-10 years of our relationship","Other (please specify)","law enforcement","Male","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Strongly disagree","Somewhat disagree","Neither agree nor disagree","30-44",9/7/14 7:49 PM,9/7/14 7:51 PM,"In a domestic partnership or civil union","Less than 1 year","Once a month or less","On the couch/chair",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Male","$25,000 - $49,999","Graduate degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 7:49 PM,9/7/14 7:49 PM,"Married","11-15 years","Never",,,,,,"Education, Training, and Library Occupations",,,,,
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","We have different temperature preferences for the room","-","-","-","-","-","Other (please specify)","Strongly agree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 7:49 PM,9/7/14 7:51 PM,"Married","More than 20 years","Every night","Shared bedroom, different bed",,"Shared bedroom, different bed",,"Within the first 1-5 years of our relationship","Other (please specify)","Management & Community Development Consultant","Male","$50,000 - $99,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:48 PM,9/7/14 7:49 PM,"Married","More than 20 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:49 PM,9/7/14 7:50 PM,"Married","More than 20 years","Never",,,,,,"Management Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:49 PM,9/7/14 7:50 PM,"Married","11-15 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Bachelor degree","East North Central"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","18-29",9/7/14 7:49 PM,9/7/14 7:51 PM,"Married","1-5 years","Once a year or less","On the couch/chair",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Healthcare Support Occupations",,"Female","$0 - $24,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:49 PM,9/7/14 7:49 PM,"Married","16-20 years","Never",,,,,,"Architecture and Engineering Occupations",,"Male","$100,000 - $149,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:48 PM,9/7/14 7:49 PM,"Married","More than 20 years","Never",,,,,,"Legal Occupations",,"Male","$150,000+","Graduate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","30-44",9/7/14 7:48 PM,9/7/14 7:50 PM,"In a domestic partnership or civil union","6-10 years","A few times per month","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Other (please specify)","Speculator","Male","$50,000 - $99,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Somewhat disagree","Neither agree nor disagree","30-44",9/7/14 7:48 PM,9/7/14 7:50 PM,"Married","11-15 years","A few times per month","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 6-10 years of our relationship","Legal Occupations",,"Female",,"Graduate degree","Middle Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","> 60",9/7/14 7:48 PM,9/7/14 7:50 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Architecture and Engineering Occupations",,"Male","$100,000 - $149,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","Other (please specify)","Strongly disagree","Strongly disagree","Neither agree nor disagree","30-44",9/7/14 7:48 PM,9/7/14 7:50 PM,"Married","More than 20 years","Once a month or less","Separate bedroom",,"Separate bedroom",,"Within 11-15 years of our relationship","Business and Financial Operations Occupations",,"Male","$150,000+","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:47 PM,9/7/14 7:48 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","Government","Male",,"Graduate degree","South Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat agree","Strongly agree","Somewhat disagree","18-29",9/7/14 7:47 PM,9/7/14 7:49 PM,"Single, but cohabiting with a significant other","1-5 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Life, Physical, and Social Science Occupations",,"Female","$25,000 - $49,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:47 PM,9/7/14 7:48 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","outdoor power equipment sales and service","Male","$50,000 - $99,999","High school degree","New England"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","We have different temperature preferences for the room","-","-","-","-","Night working/very different sleeping times","-","Somewhat agree","Strongly agree","Strongly disagree","30-44",9/7/14 7:47 PM,9/7/14 7:52 PM,"Single, but cohabiting with a significant other","1-5 years","Every night","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Food Preparation and Serving Related Occupations",,"Male",,"Some college or Associate degree","West South Central"
"-","-","-","We are no longer physically intimate","We have different temperature preferences for the room","-","-","-","-","-","-","Strongly agree","Strongly agree","Strongly disagree","> 60",9/7/14 7:47 PM,9/7/14 7:50 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Education, Training, and Library Occupations",,"Male","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Strongly disagree","Strongly disagree","Strongly disagree","> 60",9/7/14 7:42 PM,9/7/14 7:58 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Other (please specify)","retired","Male","$50,000 - $99,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:46 PM,9/7/14 7:47 PM,"Married","More than 20 years","Never",,,,,,"Management Occupations",,"Male","$150,000+","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","30-44",9/7/14 7:45 PM,9/7/14 7:47 PM,"Married","1-5 years","Once a month or less","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Sales and Related Occupations",,"Female","$150,000+","Graduate degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:44 PM,9/7/14 7:55 PM,"Married","11-15 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","We have different temperature preferences for the room","We've had an argument or fight","Not enough space","-","-","Night working/very different sleeping times","-","Somewhat agree","Somewhat disagree","Neither agree nor disagree","30-44",9/7/14 7:44 PM,9/7/14 7:47 PM,"Married","6-10 years","Once a year or less","On the couch/chair",,"Other (please specify)","hotel","Within the first 1-5 years of our relationship","Food Preparation and Serving Related Occupations",,"Female","$0 - $24,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:44 PM,9/7/14 7:45 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male",,"Graduate degree","New England"
"One of us snores","-","-","-","We have different temperature preferences for the room","-","-","Do not want to share the covers","-","-","-","Somewhat agree","Neither agree nor disagree","Somewhat agree","45-60",9/7/14 7:44 PM,9/7/14 7:47 PM,"Married","11-15 years","A few times per week","Shared bedroom, different bed",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 7:43 PM,9/7/14 7:45 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired",,,,
"-","-","One of us is sick","-","-","We've had an argument or fight","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","> 60",9/7/14 7:43 PM,9/7/14 7:47 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Other (please specify)","Semi-retired","Male","$100,000 - $149,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:44 PM,9/7/14 7:44 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:44 PM,9/7/14 7:44 PM,"Married","6-10 years","Never",,,,,,"Healthcare Support Occupations",,"Male","$50,000 - $99,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 7:44 PM,9/7/14 7:44 PM,"Married","More than 20 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,,,,
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Somewhat disagree","Somewhat agree","Somewhat disagree","45-60",9/7/14 7:43 PM,9/7/14 7:45 PM,"Married","11-15 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Education, Training, and Library Occupations",,"Female","$100,000 - $149,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:43 PM,9/7/14 7:44 PM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Food Preparation and Serving Related Occupations",,"Male",,"Bachelor degree","East North Central"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","We have different temperature preferences for the room","-","Not enough space","Do not want to share the covers","-","-","Other (please specify)","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 7:43 PM,9/7/14 7:46 PM,"Married","6-10 years","A few times per month","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Business and Financial Operations Occupations",,"Female","$50,000 - $99,999","Graduate degree","East South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:43 PM,9/7/14 7:44 PM,"Divorced","1-5 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$25,000 - $49,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:43 PM,9/7/14 7:43 PM,"Married","More than 20 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Female","$150,000+","Graduate degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:39 PM,9/7/14 7:44 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female",,"Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","30-44",9/7/14 7:42 PM,9/7/14 7:47 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"Separate bedroom",,"Within 11-15 years of our relationship","Computer and Mathematical Occupations",,"Male","$50,000 - $99,999","Bachelor degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 7:39 PM,9/7/14 7:43 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Other (please specify)","Pet Care","Female",,"High school degree","South Atlantic"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","30-44",9/7/14 7:42 PM,9/7/14 7:44 PM,"Married","16-20 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 11-15 years of our relationship","Sales and Related Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Strongly disagree","Strongly disagree","Strongly disagree","-",9/7/14 7:42 PM,9/7/14 7:43 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Arts, Design, Entertainment, Sports, and Media Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:42 PM,9/7/14 7:43 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Homemaker","Female",,"Bachelor degree","New England"
"One of us snores","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat agree","Somewhat disagree","45-60",9/7/14 7:42 PM,9/7/14 7:57 PM,"Married","More than 20 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 16-20 years of our relationship","Other (please specify)","telecomunication","Male","$150,000+","Bachelor degree","Pacific"
"One of us snores","-","-","-","-","-","-","-","-","Night working/very different sleeping times","Other (please specify)","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 7:42 PM,9/7/14 7:45 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Other (please specify)","retired","Female","$100,000 - $149,999","Graduate degree","New England"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","Other (please specify)","Strongly disagree","Somewhat disagree","Strongly disagree","18-29",9/7/14 7:42 PM,9/7/14 7:44 PM,"Single, but cohabiting with a significant other","6-10 years","Once a year or less","On the couch/chair",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Other (please specify)","Research","Male","$50,000 - $99,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:42 PM,9/7/14 7:43 PM,"Married","6-10 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","New England"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","Other (please specify)","Somewhat disagree","Somewhat disagree","Somewhat disagree","30-44",9/7/14 7:42 PM,9/7/14 7:46 PM,"Married","6-10 years","Once a month or less","Other (please specify)","Livingroom floor or couch","My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","Agricultural business","Female","$100,000 - $149,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:41 PM,9/7/14 7:43 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired","Female",,"High school degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:41 PM,9/7/14 7:42 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired","Female","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Strongly disagree","Somewhat agree","Somewhat disagree","45-60",9/7/14 7:41 PM,9/7/14 7:43 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Female",,"Bachelor degree","West North Central"
"-","-","One of us is sick","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 7:41 PM,9/7/14 7:43 PM,"Married","6-10 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Management Occupations",,"Female","$150,000+","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:41 PM,9/7/14 7:43 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male","$100,000 - $149,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:41 PM,9/7/14 7:42 PM,"Married","1-5 years","Never",,,,,,"Other (please specify)","retired","Female",,"High school degree","East North Central"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Somewhat disagree","Somewhat disagree","Strongly disagree","45-60",9/7/14 7:41 PM,9/7/14 7:43 PM,"Married","16-20 years","Once a year or less","On the couch/chair",,"Separate bedroom",,"Within 6-10 years of our relationship","Computer and Mathematical Occupations",,"Male",,"Bachelor degree","New England"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Strongly disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 7:40 PM,9/7/14 7:43 PM,"In a domestic partnership or civil union","More than 20 years","Once a month or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Other (please specify)","disabled student","Female","$25,000 - $49,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 7:41 PM,9/7/14 7:42 PM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Food Preparation and Serving Related Occupations",,"Female","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:41 PM,9/7/14 7:42 PM,"In a domestic partnership or civil union","1-5 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Graduate degree","Mountain"
"One of us snores","-","-","-","We have different temperature preferences for the room","-","-","-","-","-","-","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","30-44",9/7/14 7:40 PM,9/7/14 7:44 PM,"Married","11-15 years","A few times per month","Other (please specify)","spare room in the basement","My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","maintenance","Male","$50,000 - $99,999","Some college or Associate degree","Mountain"
"One of us snores","-","-","-","-","-","-","-","-","-","Other (please specify)","Somewhat agree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 7:40 PM,9/7/14 7:43 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Education, Training, and Library Occupations",,"Male","$150,000+","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:40 PM,9/7/14 7:42 PM,"Married","More than 20 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","Middle Atlantic"
